Prix,Année,BoiteàV,Carburant,kilometrage,Marque,Model,NBporte,Origine,Première main,Puissance fiscale,Etat,équipements
35 000 DH,2000,Manuelle,Diesel,300 000 - 349 999,Land Rover,Freelander,5,WW au Maroc,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Airbags""]"
264 000 DH,2019,Automatique,Diesel,90 000 - 94 999,Hyundai,Tucson,5,WW au Maroc,Non,6 CV,Neuf,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
117 000 DH,2012,Manuelle,Diesel,170 000 - 179 999,Ford,C-Max,WW au Maroc,6 CV,Excellent,ABS,Airbags,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""ESP"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Ordinateur de bord""]"
81 000 DH,2008,Manuelle,Diesel,250 000 - 299 999,Nissan,Pathfinder,5,Dédouanée,Non,10 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
258 000 DH,2021,Automatique,Diesel,130 000 - 139 999,Skoda,Octavia,5,WW au Maroc,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
375 000 DH,2020,Automatique,Diesel,120 000 - 129 999,Volkswagen,Touareg,5,WW au Maroc,Oui,12 CV,Très bon,[]
87 000 DH,2010,Manuelle,Essence,200 000 - 249 999,Volkswagen,Golf 6,5,WW au Maroc,Non,9 CV,Neuf,[]
178 000 DH,2017,Manuelle,Diesel,40 000 - 44 999,Jeep,Renegade,5,WW au Maroc,Oui,6 CV,Très bon,[]
56 000 DH,2011,Manuelle,Essence,100 000 - 109 999,Suzuki,Celerio,5,WW au Maroc,Non,6 CV,Excellent,[]
70 000 DH,2007,Manuelle,Diesel,15 000 - 19 999,Peugeot,207,5,WW au Maroc,Non,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Airbags""]"
78 000 DH,2010,Manuelle,Essence,5 000 - 9 999,Volkswagen,Polo,WW au Maroc,Non,7 CV,Bon,,[]
164 999 DH,2024,Manuelle,Diesel,30 000 - 34 999,Peugeot,208,5,WW au Maroc,Oui,6 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
115 000 DH,2015,Manuelle,Diesel,190 000 - 199 999,Opel,Astra,5,7 CV,Très bon,ABS,Airbags,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse""]"
850 000 DH,2018,Manuelle,Diesel,200 000 - 249 999,Fiat,Fiorino,5,WW au Maroc,Oui,5 CV,Très bon,[]
