Prix,BoiteàV,Carburant,kilometrage,NBporte,Origine,Première main,Puissance fiscale,Etat,Age,Limiteur de vitesse,Jantes aluminium,CD/MP3/Bluetooth,Climatisation,Vitres électriques,Verrouillage centralisé à distance,Airbags,Caméra de recul,Système de navigation/GPS,Radar de recul,ESP,ABS,Ordinateur de bord,Régulateur de vitesse,Sièges cuir,Toit ouvrant,Marque_freq,Modèle_freq
155.0,0,0,-1.0912392869384822,5,1.0,0,-0.743596211215475,1.0,-1.1100654520858422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1093723325556251,0.00722699595971092
180.0,1,0,-0.347863852901708,5,1.0,0,-0.743596211215475,3.0,-0.9735073596140853,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.08655323507653787,0.02185170431912593
225.0,1,0,-0.10007204155611658,5,1.0,0,-0.743596211215475,2.0,-0.5638330821988146,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0.057076196437716956,0.014852330279405907
130.0,0,0,0.8910952038262491,5,1.0,1,-0.743596211215475,3.0,0.25551547263172675,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.1093723325556251,0.03892334831844307
148.0,0,0,0.2716156754622705,5,2.0,0,-0.743596211215475,3.0,-0.15415880478354393,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0.04552438399817903,0.011267285039549308
139.0,0,1,-1.4629270039568694,5,1.0,1,-0.743596211215475,3.0,-0.9735073596140853,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.027143913958914242,0.0043248164798270075
166.0,0,0,-0.9053954284292887,5,1.0,0,-0.743596211215475,3.0,-0.5638330821988146,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0.03448472087862061,0.006601035679735958
65.0,0,1,-0.347863852901708,5,1.0,0,-0.743596211215475,3.0,0.5286316575752404,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0.08000910487679963,0.006828657599726853
170.0,0,0,-0.4098118057381058,5,1.0,1,-0.743596211215475,3.0,-0.7003911746705714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.08655323507653787,0.02185170431912593
98.0,0,0,0.8910952038262491,5,1.0,0,-0.23155191198203764,3.0,0.5286316575752404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1093723325556251,0.01849428099926023
155.0,1,0,0.8910952038262491,5,1.0,0,0.2804923872513998,1.0,-0.017600712311787052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04552438399817903,0.011210379559551585
225.0,1,0,0.519407486807862,5,1.0,0,0.7925366864848372,2.0,0.11895738015996983,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0.07283901439708644,0.0050076822397996925
145.0,1,0,-0.4717597585745037,5,1.0,0,-0.743596211215475,3.0,-0.7003911746705714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1093723325556251,0.03892334831844307
70.0,0,1,1.5105747321902276,5,1.0,0,0.7925366864848372,2.0,0.8017478425187543,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0.08000910487679963,0.005918169919763273
135.0,1,1,-0.9673433812656865,3,1.0,1,0.7925366864848372,3.0,-0.8369492671423284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0010242986399590281,0.00011381095999544757
160.0,0,0,-1.4629270039568694,5,1.0,0,1.3045809857182746,3.0,-0.5638330821988146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.047629886758094805,0.00045524383998179026
82.0,0,0,3.3690133172821635,5,1.0,0,-0.743596211215475,2.0,0.6651897500469974,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0.057076196437716956,0.0034143287998634267
400.0,1,0,-0.5337077114109016,5,3.0,1,0.2804923872513998,3.0,-0.9735073596140853,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.11938769703522449,0.005178398679792864
400.0,1,0,-1.0912392869384822,5,1.0,1,0.2804923872513998,3.0,-0.9735073596140853,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.042451488078301944,0.0034712342798611504
125.0,0,0,0.7671992981534533,5,1.0,0,0.7925366864848372,3.0,0.25551547263172675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.01024298639959028,0.0022193137199112275
118.0,0,0,-0.4717597585745037,5,1.0,0,-0.743596211215475,2.0,-0.5638330821988146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.04552438399817903,0.010470608319581175
129.0,0,0,0.023823864116679114,5,1.0,0,-0.743596211215475,2.0,0.3920735651034836,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0.04552438399817903,0.0017071643999317133
175.0,1,0,-0.10007204155611658,5,1.0,0,0.2804923872513998,3.0,-0.4272749897270577,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011551812439537927,0.0010812041199567519
63.001,0,0,2.130054260554206,5,1.0,1,0.2804923872513998,2.0,1.074864027462268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.057076196437716956,0.00796676719968133
39.0,0,1,0.8910952038262491,5,1.0,0,0.2804923872513998,2.0,1.4845383048775387,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.1093723325556251,0.01849428099926023
20.0,0,1,-1.5248749567932671,5,3.0,1,-1.2556405104489126,1.0,3.259793507010378,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.03448472087862061,0.00011381095999544757
250.0,1,0,0.519407486807862,5,3.0,1,0.7925366864848372,3.0,0.25551547263172675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.07283901439708644,0.0050076822397996925
118.5,0,0,0.39551158113506624,5,1.0,1,-0.743596211215475,3.0,-0.15415880478354393,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0.04552438399817903,0.010470608319581175
376.0,1,0,0.519407486807862,5,2.0,1,0.7925366864848372,3.0,-0.2907168972553008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.07283901439708644,0.01325897683946964
70.0,0,1,0.519407486807862,3,1.0,0,-0.743596211215475,3.0,0.25551547263172675,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02930632219882775,0.006373413759745063
125.0,0,0,-0.6576036170836972,5,3.0,0,-0.743596211215475,3.0,-0.5638330821988146,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0.08655323507653787,0.02646104819894156
115.0,0,0,-0.10007204155611658,5,1.0,1,-0.743596211215475,3.0,-0.7003911746705714,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.08655323507653787,0.014112559039435498
475.0,1,0,3.988492845646142,5,1.0,1,0.2804923872513998,1.0,-0.8369492671423284,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.07283901439708644,0.0050076822397996925
125.0,1,0,0.8910952038262491,5,1.0,0,2.3286695841851497,3.0,0.5286316575752404,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.07283901439708644,0.0013657315199453706
223.0,1,0,0.7671992981534533,5,1.0,1,0.7925366864848372,3.0,0.11895738015996983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.07283901439708644,0.014055653559437773
27.0,0,0,2.7495337889181846,5,1.0,0,-0.23155191198203764,2.0,3.123235414538621,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0.08000910487679963,0.001536447959938542
105.0,0,0,-0.22396794722891228,5,1.0,1,-0.743596211215475,3.0,-0.5638330821988146,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0.1093723325556251,0.03892334831844307
143.0,0,0,-1.4629270039568694,5,1.0,1,-0.23155191198203764,2.0,-0.8369492671423284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.08655323507653787,0.014112559039435498
153.0,0,0,0.2716156754622705,5,1.0,0,-0.743596211215475,3.0,-0.8369492671423284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.1093723325556251,0.00722699595971092
208.0,0,0,-0.9673433812656865,5,1.0,1,-0.743596211215475,3.0,-0.9735073596140853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017014738519319412,0.003129801399874808
290.0,1,0,-0.9053954284292887,5,1.0,1,0.7925366864848372,3.0,-0.8369492671423284,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.018152848119273885,0.002902179479883913
113.0,0,0,0.39551158113506624,5,1.0,0,-0.743596211215475,2.0,-0.15415880478354393,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0.11938769703522449,0.009844648039606213
47.0,0,1,0.8910952038262491,5,1.0,0,0.2804923872513998,3.0,1.211422119934025,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0.1093723325556251,0.03892334831844307
245.0,1,0,0.7671992981534533,5,1.0,0,1.8166252849517122,2.0,-0.017600712311787052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07283901439708644,0.0050076822397996925
87.0,0,0,0.023823864116679114,5,1.0,0,-1.2556405104489126,2.0,-0.15415880478354393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047629886758094805,0.0054629260797814825
82.0,0,0,0.39551158113506624,5,1.0,0,-1.2556405104489126,2.0,-0.5638330821988146,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0.047629886758094805,0.005292209639788312
280.0,1,1,-1.0912392869384822,5,2.0,1,1.8166252849517122,3.0,-0.5638330821988146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.07283901439708644,0.0068855630797245776
240.0,0,0,-1.586822909629665,5,1.0,1,-0.743596211215475,3.0,-1.246623544557599,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.1093723325556251,0.03892334831844307
89.0,0,1,-0.347863852901708,5,1.0,1,-0.23155191198203764,3.0,-0.7003911746705714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047629886758094805,0.0014226369999430946
84.0,0,0,0.2716156754622705,5,1.0,0,-1.2556405104489126,2.0,-0.15415880478354393,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.047629886758094805,0.0029590849598816367
103.0,0,0,0.14771976978947482,5,2.0,0,0.2804923872513998,3.0,-0.017600712311787052,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.018152848119273885,0.0021624082399135038
60.0,0,1,-1.215135192611278,5,1.0,1,1.8166252849517122,3.0,1.211422119934025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01024298639959028,0.0022193137199112275
148.0,1,0,0.8910952038262491,5,1.0,0,0.2804923872513998,2.0,0.3920735651034836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.07283901439708644,0.014055653559437773
